"Utc","PrivateBytes","WorkingSet","Handles"
"2026-09-19T02:22:55.7084770Z","80637952","83787776","325"
"2026-09-19T02:22:55.9713515Z","80429056","83791872","325"
"2026-09-19T02:22:56.2232802Z","80420864","83787776","325"
"2026-09-19T02:22:56.4803409Z","80642048","83783680","325"
"2026-09-19T02:22:56.7326993Z","80658432","83820544","325"
"2026-09-19T02:22:56.9859582Z","80699392","83836928","325"
"2026-09-19T02:22:57.2392870Z","80707584","83841024","325"
"2026-09-19T02:22:57.4913166Z","80465920","83816448","325"
"2026-09-19T02:22:57.7445704Z","80699392","83832832","325"
"2026-09-19T02:22:57.9981684Z","79601664","83582976","325"
"2026-09-19T02:22:58.2513630Z","80490496","83836928","325"
"2026-09-19T02:22:58.5028568Z","80719872","83857408","325"
"2026-09-19T02:22:58.7541722Z","80719872","83853312","325"
"2026-09-19T02:22:59.0066650Z","80519168","83881984","329"
"2026-09-19T02:22:59.2585697Z","80740352","83881984","329"
"2026-09-19T02:22:59.5096814Z","80736256","83877888","325"
"2026-09-19T02:22:59.7617232Z","80736256","83873792","325"
