fixture,mode,seed,samples,expected_survival,survival,ci95_low,ci95_high,censored_mean,candidates,nulls,elapsed_ms
homogeneous,global,17,2048,0.09071795329,0.1020507812,0.08894010327,0.1151614592,1.563702957,1839,0,0.556349
homogeneous,global,17,8192,0.09071795329,0.09143066406,0.08518920575,0.09767212238,1.517708129,7443,0,2.314209
homogeneous,global,17,32768,0.09071795329,0.09255981445,0.08942182597,0.09569780294,1.524831653,29735,0,9.303234
homogeneous,global,42,2048,0.09071795329,0.09912109375,0.08617891639,0.1120632711,1.540782877,1845,0,0.725114
homogeneous,global,42,8192,0.09071795329,0.09008789062,0.0838878572,0.09628792405,1.521121989,7454,0,2.584346
homogeneous,global,42,32768,0.09071795329,0.08865356445,0.08557590223,0.09173122668,1.509214083,29863,0,9.390416
homogeneous,global,4294967313,2048,0.09071795329,0.0849609375,0.07288500824,0.09703686676,1.512489022,1874,0,0.616579
homogeneous,global,4294967313,8192,0.09071795329,0.08764648438,0.08152284052,0.09377012823,1.520693128,7474,0,2.301159
homogeneous,global,4294967313,32768,0.09071795329,0.09069824219,0.0875887852,0.09380769918,1.516636647,29796,0,9.244545
homogeneous,global,99991,2048,0.09071795329,0.09033203125,0.07791683941,0.1027472231,1.527037534,1863,0,0.552132
homogeneous,global,99991,8192,0.09071795329,0.09155273438,0.0853075305,0.09779793825,1.518800977,7442,0,2.227287
homogeneous,global,99991,32768,0.09071795329,0.09051513672,0.08740850732,0.09362176612,1.509185254,29802,0,9.358402
homogeneous,local,17,2048,0.09071795329,0.09130859375,0.07883317498,0.1037840125,1.521831216,1861,0,0.945215
homogeneous,local,17,8192,0.09071795329,0.09069824219,0.0844793282,0.09691715617,1.512954192,7449,0,3.840019
homogeneous,local,17,32768,0.09071795329,0.09051513672,0.08740850732,0.09362176612,1.520594026,29802,0,15.013882
homogeneous,local,42,2048,0.09071795329,0.083984375,0.07197164313,0.09599710687,1.506116258,1876,0,0.900838
homogeneous,local,42,8192,0.09071795329,0.09399414062,0.08767472393,0.1003135573,1.515775564,7422,0,3.638424
homogeneous,local,42,32768,0.09071795329,0.08996582031,0.0868676968,0.09306394383,1.517661146,29820,0,16.220119
homogeneous,local,4294967313,2048,0.09071795329,0.08544921875,0.0733418699,0.0975565676,1.535167001,1873,0,0.925575
homogeneous,local,4294967313,8192,0.09071795329,0.08776855469,0.0816410579,0.09389605147,1.518263096,7473,0,3.763623
homogeneous,local,4294967313,32768,0.09071795329,0.08834838867,0.08527551383,0.09142126352,1.511584997,29873,0,15.276016
homogeneous,local,99991,2048,0.09071795329,0.0927734375,0.08020848653,0.1053383885,1.544423895,1858,0,0.907167
homogeneous,local,99991,8192,0.09071795329,0.08850097656,0.08235043674,0.09465151639,1.52403699,7467,0,3.61582
homogeneous,local,99991,32768,0.09071795329,0.09088134766,0.0877690669,0.09399362841,1.518158318,29790,0,14.405865
sparse_slab,global,17,2048,0.2008895554,0.2094726562,0.191848302,0.2270970105,4.294764789,12994,11375,2.448781
sparse_slab,global,17,8192,0.2008895554,0.2020263672,0.1933315712,0.2107211632,4.258157631,52400,45863,9.723537
sparse_slab,global,17,32768,0.2008895554,0.2063903809,0.2020083111,0.2107724507,4.279346073,209924,183919,41.163248
sparse_slab,local,17,2048,0.2008895554,0.203125,0.1857001967,0.2205498033,4.269169661,5233,3601,2.044271
sparse_slab,local,17,8192,0.2008895554,0.2017822266,0.1930913566,0.2104730965,4.26608085,20927,14388,7.871395
sparse_slab,local,17,32768,0.2008895554,0.2000732422,0.1957416185,0.2044048659,4.254929718,83296,57084,31.450036
sparse_slab,global,42,2048,0.2008895554,0.1928710938,0.1757829017,0.2099592858,4.227835612,13045,11392,2.732379
sparse_slab,global,42,8192,0.2008895554,0.1907958984,0.1822869742,0.1993048226,4.205738817,51717,45088,10.001496
sparse_slab,global,42,32768,0.2008895554,0.1990661621,0.1947427349,0.2033895893,4.250089069,209065,182820,38.903202
sparse_slab,local,42,2048,0.2008895554,0.212890625,0.1951615162,0.2306197338,4.31009619,5328,3716,1.880204
sparse_slab,local,42,8192,0.2008895554,0.2025146484,0.1938120153,0.2112172816,4.252338092,21057,14524,7.80205
sparse_slab,local,42,32768,0.2008895554,0.2007141113,0.196377294,0.2050509287,4.254511087,83534,57343,30.548427
sparse_slab,global,4294967313,2048,0.2008895554,0.2006835938,0.1833373121,0.2180298754,4.262932509,13230,11593,2.465066
sparse_slab,global,4294967313,8192,0.2008895554,0.2049560547,0.1962145329,0.2136975764,4.278734548,52898,46385,9.791139
sparse_slab,global,4294967313,32768,0.2008895554,0.2012939453,0.1969524439,0.2056354467,4.257993142,209543,183371,38.848399
sparse_slab,local,4294967313,2048,0.2008895554,0.208984375,0.1913751382,0.2265936118,4.307507275,5211,3591,1.804509
sparse_slab,local,4294967313,8192,0.2008895554,0.1987304688,0.1900890979,0.2073718396,4.244783799,20803,14239,7.163407
sparse_slab,local,4294967313,32768,0.2008895554,0.1998291016,0.195499461,0.2041587422,4.245972938,83068,56848,29.073744
sparse_slab,global,99991,2048,0.2008895554,0.1904296875,0.1734243322,0.2074350428,4.221827069,13045,11387,2.373537
sparse_slab,global,99991,8192,0.2008895554,0.1961669922,0.1875678133,0.2047661711,4.248757261,52586,46001,11.023436
sparse_slab,global,99991,32768,0.2008895554,0.1967163086,0.1924121748,0.2010204424,4.239124776,209282,182960,41.102175
sparse_slab,local,99991,2048,0.2008895554,0.19921875,0.1819200627,0.2165174373,4.259635563,5226,3586,1.929889
sparse_slab,local,99991,8192,0.2008895554,0.2036132812,0.1948930871,0.2123334754,4.270593833,21002,14478,7.521218
sparse_slab,local,99991,32768,0.2008895554,0.2011108398,0.1967708161,0.2054508636,4.252192914,83304,57126,29.491405
Delta tracking: immutable grid, hard masks, conservative bounds, global/local free flights, independent seeds, failures and world units passed
