fixture,mode,seed,samples,reference_T,mean_T,sample_variance,standard_error,events,random_draws,quadrature_delta
homogeneous,global,17,2048,0.018315638888734179,0.018724278746590765,0.00063879778141439465,0.0005584917002124986,32808,34856,0
homogeneous,global,17,16384,0.018315638888734179,0.018100264530431068,0.00056028803116083264,0.00018492503218035759,262790,279174,0
homogeneous,global,42,2048,0.018315638888734179,0.018788158607676235,0.00059775996949369724,0.00054025455583858273,32723,34771,0
homogeneous,global,42,16384,0.018315638888734179,0.018232560183653566,0.00064376266607614691,0.00019822248841106351,262790,279174,0
homogeneous,global,4294967313,2048,0.018315638888734179,0.018533057287826362,0.00057785923429253363,0.00053118530593795725,32984,35032,0
homogeneous,global,4294967313,16384,0.018315638888734179,0.018379022992904351,0.00059124205428420242,0.00018996460503158813,262539,278923,0
homogeneous,local,17,2048,0.018315638888734179,0.020556179806590628,0.0096401230188247148,0.0021695832129202848,14444,22636,0
homogeneous,local,17,16384,0.018315638888734179,0.018449436465744522,0.0085545200427252707,0.00072258319067875745,114861,180397,0
homogeneous,local,42,2048,0.018315638888734179,0.020544281112962026,0.010211311819674166,0.0022329335188156132,14330,22522,0
homogeneous,local,42,16384,0.018315638888734179,0.017822531020116272,0.0080467208803814139,0.00070080872300094636,115030,180566,0
homogeneous,local,4294967313,2048,0.018315638888734179,0.013603319763206457,0.0055147767779905252,0.0016409637712722928,14391,22583,0
homogeneous,local,4294967313,16384,0.018315638888734179,0.018146833805076781,0.0081398314054755613,0.00070485167353270719,115003,180539,0
piecewise-voxel-with-exact-linear-transition,global,17,2048,0.28650479686019009,0.29272664257918662,0.14650410997099705,0.0084578490141865217,8265,10313,0
piecewise-voxel-with-exact-linear-transition,global,17,16384,0.28650479686019009,0.28814159270620338,0.147704992964973,0.00300253181906908,65551,81935,0
piecewise-voxel-with-exact-linear-transition,global,42,2048,0.28650479686019009,0.28682750212190106,0.15308612559621609,0.0086457553032558924,8214,10262,0
piecewise-voxel-with-exact-linear-transition,global,42,16384,0.28650479686019009,0.28570789535041818,0.14700862257360375,0.0029954455843625638,65555,81939,0
piecewise-voxel-with-exact-linear-transition,global,4294967313,2048,0.28650479686019009,0.29790571338129518,0.15137908954436272,0.0085974165344354092,8098,10146,0
piecewise-voxel-with-exact-linear-transition,global,4294967313,16384,0.28650479686019009,0.28396340851331592,0.14769276034331749,0.0030024074847608854,65310,81694,0
piecewise-voxel-with-exact-linear-transition,local,17,2048,0.28650479686019009,0.27779260150534396,0.14469356951449669,0.0084054242599347906,6701,14893,0
piecewise-voxel-with-exact-linear-transition,local,17,16384,0.28650479686019009,0.28438895491965732,0.14708669547193512,0.0029962408849132489,53178,118714,0
piecewise-voxel-with-exact-linear-transition,local,42,2048,0.28650479686019009,0.28021275173987448,0.14612326390091604,0.008446848521881942,6630,14822,0
piecewise-voxel-with-exact-linear-transition,local,42,16384,0.28650479686019009,0.28434791054274483,0.14616405438015795,0.0029868287358378012,53196,118732,0
piecewise-voxel-with-exact-linear-transition,local,4294967313,2048,0.28650479686019009,0.27705441014879095,0.14539883912043514,0.0084258843401909429,6744,14936,0
piecewise-voxel-with-exact-linear-transition,local,4294967313,16384,0.28650479686019009,0.28725164054858743,0.14798329755808623,0.0030053591613729024,53161,118697,0
oblique-trilinear,global,17,2048,0.26107732010034856,0.24513494855830442,0.11877334610836994,0.0076154315639021739,4671,6719,1.6568263427885199e-10
oblique-trilinear,global,17,16384,0.26107732010034856,0.26091141223898129,0.12005852862561335,0.0027069892969513953,36531,52915,1.6568263427885199e-10
oblique-trilinear,global,42,2048,0.26107732010034856,0.26160752131201914,0.11943940179536361,0.0076367545729774753,4625,6673,1.6568263427885199e-10
oblique-trilinear,global,42,16384,0.26107732010034856,0.26003960609643467,0.11858027311678024,0.0026902723835794686,36667,53051,1.6568263427885199e-10
oblique-trilinear,global,4294967313,2048,0.26107732010034856,0.26315912186721735,0.12355222685143005,0.0077671253219772259,4499,6547,1.6568263427885199e-10
oblique-trilinear,global,4294967313,16384,0.26107732010034856,0.26083934206118614,0.12026124655518096,0.0027092736986718863,36402,52786,1.6568263427885199e-10
oblique-trilinear,local,17,2048,0.26107732010034856,0.24775084260058036,0.11472044893450237,0.0074843733342411494,4634,10778,1.6568263427885199e-10
oblique-trilinear,local,17,16384,0.26107732010034856,0.26229382094278997,0.1194728822832426,0.0027003788693062253,36459,85611,1.6568263427885199e-10
oblique-trilinear,local,42,2048,0.26107732010034856,0.25805378572938542,0.11851861199191255,0.0076072607429794369,4607,10751,1.6568263427885199e-10
oblique-trilinear,local,42,16384,0.26107732010034856,0.25865597494818288,0.11914036429980461,0.0026966183917492841,36443,85595,1.6568263427885199e-10
oblique-trilinear,local,4294967313,2048,0.26107732010034856,0.25754192463503012,0.11984755049463833,0.0076497916157866755,4537,10681,1.6568263427885199e-10
oblique-trilinear,local,4294967313,16384,0.26107732010034856,0.26000978425580329,0.11969115040023715,0.0027028444399226389,36464,85616,1.6568263427885199e-10
reverse-boundaries,global,42,16384,0.28650479686019009,0.28235737404332678,0.14700439632473511,0.0029954025270599498,65555,81939,0
exact-brick-start,global,42,16384,0.37221588761195501,0.36951405709749946,0.22231213297144539,0.0036835927804499437,32979,49363,0
reverse-boundaries,local,42,16384,0.28650479686019009,0.29196343583237688,0.14915553620097804,0.0030172390454816845,53100,118636,0
exact-brick-start,local,42,16384,0.37221588761195501,0.36969217711567059,0.22252009778261997,0.0036853153103808484,32758,65526,0
thick-log,global,17,1,0,0,0,0,2032,2033,0 log_T=-1408.475070897794
thick-log,global,42,1,0,0,0,0,1949,1950,0 log_T=-1350.943854911319
thick-log,global,4294967313,1,0,0,0,0,2020,2021,0 log_T=-1400.1573047310746
thick-log,local,17,1,0,0,0,0,2032,2033,0 log_T=-1408.475070897794
thick-log,local,42,1,0,0,0,0,1949,1950,0 log_T=-1350.943854911319
thick-log,local,4294967313,1,0,0,0,0,2020,2021,0 log_T=-1400.1573047310746
