x,y,mean_R,mean_G,mean_B,mean_T,variance_mean_R,variance_mean_G,variance_mean_B,variance_mean_T,mean_RGB_average,variance_mean_RGB_average,fine_RGB_average,coarse_RGB_average,fine_T,coarse_T
0,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
1,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
2,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
3,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
4,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
5,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
6,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
7,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
8,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
9,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
10,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
11,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
12,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
13,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
14,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
15,0,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
0,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
1,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
2,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
3,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
4,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
5,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
6,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
7,1,0.035188288350090552,0.041908259481279478,0.054388205867773126,0.95999587588413093,3.1011573107676162e-07,3.1015206732721882e-07,3.1027670507626347e-07,2.1983131173825554e-07,0.04382825123304776,3.1016640607667524e-07,0.043141188857171088,0.043140127447619331,0.96050874673015163,0.96051126786845431
8,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
9,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
10,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
11,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
12,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
13,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
14,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
15,1,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
0,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
1,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
2,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
3,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
4,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
5,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
6,2,0.01578791439419984,0.022775332197825762,0.035751965261702448,0.99820254337512682,1.1377773267577658e-08,1.1377991265927799e-08,1.1378583307250863e-08,7.1995093944029241e-10,0.024771737284575997,1.1378066510287588e-08,0.024724455816427186,0.024725291417993626,0.99824319058030753,0.99824133250376479
7,2,0.16611831959146223,0.17033823569818834,0.17817522275353881,0.60284515810383621,1.5901906729681426e-06,1.5917539911564434e-06,1.5963766255161316e-06,6.6128044339929343e-06,0.1715439260143965,1.5923196839757704e-06,0.1719288912604022,0.17192704614751272,0.60024248520244228,0.600248780387174
8,2,0.048669935866358836,0.055206959458892493,0.067347146130740387,0.93386051321908803,5.1743192263139009e-07,5.1745882777979755e-07,5.1758792685476494e-07,3.0435527223157252e-07,0.057074680485330612,5.1747199335995943e-07,0.056420764450692169,0.056423279902877967,0.93508552901409225,0.93508117156673587
9,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
10,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
11,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
12,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
13,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
14,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
15,2,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
0,3,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
1,3,0.014999999999999999,0.021999999999999999,0.035000000000000003,1,0,0,0,0,0.024000000000000004,0,0.024000000000000004,0.024000000000000004,1,1
